,event,type
692,Athletics_at_the_1978_Commonwealth_Games,sport
693,Athletics_at_the_1980_Summer_Olympics,sport
694,Athletics_at_the_1982_Commonwealth_Games,sport
695,Athletics_at_the_1984_Summer_Olympics,sport
696,Athletics_at_the_1986_Commonwealth_Games,sport
697,Athletics_at_the_1987_Pan_American_Games,sport
698,Athletics_at_the_1988_Summer_Olympics,sport
699,Athletics_at_the_1990_Commonwealth_Games,sport
700,Athletics_at_the_1991_Pan_American_Games,sport
701,Athletics_at_the_1991_Summer_Universiade,sport
702,Athletics_at_the_1992_Summer_Olympics,sport
703,Athletics_at_the_1993_Summer_Universiade,sport
704,Athletics_at_the_1994_Commonwealth_Games,sport
705,Athletics_at_the_1995_Pan_American_Games,sport
706,Athletics_at_the_1995_Summer_Universiade,sport
